Energy,Nanopatterned CoO Transmission, CoPd Transmission
797.38,0.72161,0.44118
797.5,0.72163,0.44214
797.63,0.72295,0.44279
797.75,0.72326,0.44353
797.88,0.72376,0.44424
798,0.72482,0.44464
798.13,0.72457,0.44519
798.25,0.72507,0.44568
798.38,0.7251,0.44611
798.5,0.72551,0.44626
798.63,0.72617,0.44648
798.75,0.72639,0.44687
798.88,0.72668,0.44706
799,0.72698,0.44735
799.13,0.72675,0.44752
799.25,0.72667,0.44745
799.38,0.72654,0.44789
799.5,0.72706,0.4478
